Facility, District,Hub
"Mukathi H/C III","Kasese","Kilembe Mines Hub"
"Rwesande H/C IV","Kasese","Kilembe Mines Hub"
"Kanamba H/C III","Kasese","Kilembe Mines Hub"
"Kasese Community Medical Centre(KCMC) HC III","Kasese","Kilembe Mines Hub"
"Ihandiro H/C III","Kasese","Kagando Hub"
"Musyenene H/C III","Kasese","Kagando Hub"
"Karusandara H/C III","Kasese","Kilembe Mines Hub"
"Kyarumba H/C III (Government)","Kasese","Kagando Hub"
"St Francis Assisi Kitabu (Kasese)","Kasese","Kagando Hub"
"Kinyamaseke H/C III","Kasese","Kagando Hub"
"Kinyabwamba H/C III","Kasese","Kilembe Mines Hub"
"Kyondo H/C III","Kasese","Kagando Hub"
"Isule H/C III","Kasese","Kilembe Mines Hub"
"Kitholhu H/C III","Kasese","Kagando Hub"
"Rwenzori Mountaineering Services","Kasese","Kilembe Mines Hub"
"Rukoki H/C III","Kasese","Kilembe Mines Hub"
"Buhaghura H/C III","Kasese","Kilembe Mines Hub"
"Kahokya H/C II 	","Kasese","Kagando Hub"
"Mahango H/C III","Kasese","Kilembe Mines Hub"
"Kyarumba PHC III","Kasese","Kagando Hub"
"Kalibu H/C III","Kasese","Kilembe Mines Hub"
"Kanyatsi H/C II","Kasese","Kagando Hub"
"Mweya H/C II","Kasese","Kilembe Mines Hub"
"Busunga H/C II (Kasese)","Kasese","Kagando Hub"
"Nyamirami H/C IV","Kasese","Kagando Hub"
"Bishop Masereka H/C","Kasese","Kilembe Mines Hub"
"Kasenyi H/C II","Kasese","Kagando Hub"
"Hamukungu H/C II","Kasese","Kagando Hub"
"Mubuku Prison H/C II","Kasese","Kilembe Mines Hub"
"Mt St Marys Hospital","Kasese","Kilembe Mines Hub"
"Ngariam H/C III","Katakwi","Katakwi Hub"
"Toroma H/C IV","Katakwi","Katakwi Hub"
"Kapujan H/C III","Katakwi","Katakwi Hub"
"St Kevin H/C III","Katakwi","Katakwi Hub"
"Katakwi Hospital","Katakwi","Katakwi Hub"
"Magoro H/C III","Katakwi","Katakwi Hub"
"Aketa H/C III","Katakwi","Katakwi Hub"
"Usuk H/C III","Katakwi","Katakwi Hub"
"Ongongoja H/C II","Katakwi","Katakwi Hub"
"Akoboi H/C II (katakwi)","Katakwi","Katakwi Hub"
"Astu H/C IV","Katakwi","Katakwi Hub"
"Bisina H/CII","Katakwi","Katakwi Hub"
"Aakum H/C II","Katakwi","Katakwi Hub"
"Omodoi H/C II","Katakwi","Katakwi Hub"
"Aliakmer H/C III","Katakwi","Katakwi Hub"
"Galiraaya H/C III","Kayunga","Kayunga Hub"
"Kangulumira H/C IV","Kayunga","Kayunga Hub"
"Kayunga Hospital","Kayunga","Kayunga Hub"
"Nazigo H/C III","Kayunga","Kayunga Hub"
"Bbaale H/C IV","Kayunga","Kayunga Hub"
"Lugasa H/C III","Kayunga","Kayunga Hub"
"Busaana H/C III","Kayunga","Kayunga Hub"
"Wabwoko H/C III","Kayunga","Kayunga Hub"
"Kawongo H/C III","Kayunga","Kayunga Hub"
"Ntenjeru H/C III","Kayunga","Kayunga Hub"
"Nkokonjeru  H/C III (Kayunga)","Kayunga","Kayunga Hub"
"Namusaala H/C II","Kayunga","Kayunga Hub"
"Kangulumira Intergrated","Kayunga","Kayunga Hub"
"Busaale H/C II","Kayunga","Kayunga Hub"
"Nazigo Mission H/C II","Kayunga","Kayunga Hub"
"Bukamba H/C II","Kayunga","Kayunga Hub"
"Bukamba H/C III","Kayunga","Kayunga Hub"
"Nakyessa H/C II","Kayunga","Kayunga Hub"
"Ntenjeru Prison H/C II","Kayunga","Kayunga Hub"
"KAKIIKA H/C II","Kayunga","Kayunga Hub"
"Buremba H/C III","Kazo","Rushere Hub"
"Kanoni H/C III (Kiruhura)","Kazo","Rushere Hub"
"Kazo H/C IV","Kazo","Rushere Hub"
"Engari Community H/C III","Kazo","Rushere Hub"
"Rwemikoma H/C III","Kazo","Rushere Hub"
"Nkungu H/C III","Kazo","Rushere Hub"
"Lamezia H/C III","Kazo","Rushere Hub"
"Burunga H/C III","Kazo","Rushere Hub"
"Kibaale H/C IV (Kibaale)","Kibaale","Kakindo Hub"
"Nyamarwa H/C III (Kibaale)","Kibaale","Kakindo Hub"
"Emesco H/C IV","Kibaale","Kakindo Hub"
"Mugarama H/C III (Kibaale)","Kibaale","Kakindo Hub"
"Kyebando H/C III","Kibaale","Kakindo Hub"
"St Marys H/C III(Kibaale)","Kibaale","Kagadi Hub"
"St Luke Bujuni H/C III (Kibaale)","Kibaale","Kakindo Hub"
"Kabasekende H/C III","Kibaale","Kakindo Hub"
"Bukomero H/C IV","Kiboga","Kiboga Hub"
"Kiboga Hospital","Kiboga","Kiboga Hub"
"Lwamata H/C III","Kiboga","Kiboga Hub"
"Nabwendo H/C III","Kiboga","Kiboga Hub"
"Katwe H/C III (Kiboga)","Kiboga","Kiboga Hub"
"Muwanga H/C III","Kiboga","Kiboga Hub"
"Kambugu H/C III (Kiboga)","Kiboga","Kiboga Hub"
"Kyanamuyojo H/C III","Kiboga","Kiboga Hub"
"Seeta H/C II","Kiboga","Kiboga Hub"
"Bulaga H/C III","Kiboga","Kiboga Hub"
"Nyamiranga H/C III","Kiboga","Koboko Hub"
"Tirinyi H/C III","Kibuku","Pallisa Hub"
"Bulangira H/C III","Kibuku","Pallisa Hub"
"Buseta H/C III","Kibuku","Pallisa Hub"
"Kibuku H/C IV","Kibuku","Pallisa Hub"
"Kasasira H/C III","Kibuku","Pallisa Hub"
"Kadama H/C III","Kibuku","Pallisa Hub"
"Nabuli H/C III","Kibuku","Pallisa Hub"
"Kirika H/C III","Kibuku","Pallisa Hub"
"Community Health Plan-Uganda","Kibuku","Pallisa Hub"
"Kagumu H/C III","Kibuku","Pallisa Hub"
"All Saints Buchanagandi H/C III","Kibuku","Pallisa Hub"
"Kenkebu H/C II","Kibuku","Pallisa Hub"
"Bugambe H/C II (Hoima)","Kikuube","Hoima Hub"
"Kabwoya H/C III","Kikuube","Hoima Hub"
"Kikuube H/C IV","Kikuube","Hoima Hub"
"Kyehoro H/C III","Kikuube","Hoima Hub"
"Muhuiju H/C III","Kikuube","Hoima Hub"
"Rwenyawawa H/C III","Kikuube","Hoima Hub"
"Nsozi H/C III","Kikuube","Hoima Hub"
"Bugambe H/C III (Hoima)","Kikuube","Hoima Hub"
"Mukabara H/C III","Kikuube","Hoima Hub"
"Bujugu H/C III","Kikuube","Hoima Hub"
"Kyangwali H/C IV","Kikuube","Hoima Hub"
"Buhimba H/C III","Kikuube","Hoima Hub"
"Sebigoro H/C III","Kikuube","Hoima Hub"
"Bugambe Tea H/C III","Kikuube","Hoima Hub"
"Ngurwe H/C II","Kikuube","Hoima Hub"
"Maratatu B H/C III","Kikuube","Hoima Hub"
"Kasonga H/C III","Kikuube","Hoima Hub"
"Family Health Resource Centre Kiruhura","Kiruhura","Rushere Hub"
"Kiruhura H/C IV","Kiruhura","Rushere Hub"
"Rushere Community Hospital","Kiruhura","Rushere Hub"
"Kashongi H/C III","Kiruhura","Rushere Hub"
"Nyakashashara H/C III","Kiruhura","Rushere Hub"
"Kinoni H/C III (Kiruhura)","Kiruhura","Rushere Hub"
"Lake Mburo H/C III","Kiruhura","Rushere Hub"
"Kyampangara H/C II","Kiruhura","Rushere Hub"
"Sanga H/C III","Kiruhura","Rushere Hub"
"Rurambiira H/C II","Kiruhura","Rushere Hub"
"Kikatsi H/C III","Kiruhura","Rushere Hub"
"St Marys H/C III-Kyeibuza","Kiruhura","Rushere Hub"
"Kitura H/C III","Kiruhura","Rushere Hub"
"Ngomba H/C II","Kiruhura","Rushere Hub"
"Nyakahita H/C II","Kiruhura","Rushere Hub"
"Rwabigyemana H/C III","Kiruhura","Rushere Hub"
"Nshwere H/C II","Kiruhura","Rushere Hub"
"Kiryandongo Hospital","Kiryandongo","Kiryandongo Hub"
"Panyadoli H/C III","Kiryandongo","Kiryandongo Hub"
"Masindi Port H/C III","Kiryandongo","Kiryandongo Hub"
"Mutunda H/C III","Kiryandongo","Kiryandongo Hub"
"Kigumba H/C III","Kiryandongo","Kiryandongo Hub"
"Diima H/C III","Kiryandongo","Kiryandongo Hub"
"Katulikire H/C III","Kiryandongo","Kiryandongo Hub"
"St Marys Kigumba H/C III (NGO)","Kiryandongo","Kiryandongo Hub"
"Diika H/C II","Kiryandongo","Kiryandongo Hub"
"Karungu H/C III (Kiryandongo)","Kiryandongo","Kiryandongo Hub"
"Apodorwa H/C II","Kiryandongo","Kiryandongo Hub"
"Panyadoli Hills H/C II","Kiryandongo","Kiryandongo Hub"
"Nyakadoti H/C III","Kiryandongo","Kiryandongo Hub"
"Restoration Gate Way","Kiryandongo","Kiryandongo Hub"
"Busanza H/C IV","Kisoro","Kisoro Hub"
"Chahafi H/C IV","Kisoro","Kisoro Hub"
"Kisoro Hospital","Kisoro","Kisoro Hub"
"St Francis Hospital (Mutolere)","Kisoro","Kisoro Hub"
"Rubuguri H/C IV","Kisoro","Kisoro Hub"
"Nyarusiza H/C III","Kisoro","Kisoro Hub"
"Nyakabande H/C II","Kisoro","Kisoro Hub"
"Muramba H/C III","Kisoro","Kisoro Hub"
"IREMERA H/C III","Kisoro","Kisoro Hub"
"Nyakinama H/C III","Kisoro","Kisoro Hub"
"Nteko H/C III","Kisoro","Kisoro Hub"
"Kagano H/C III","Kisoro","Kisoro Hub"
"Bukimbiri H/C III","Kisoro","Kisoro Hub"
"Nyabihuniko H/C III","Kisoro","Kisoro Hub"
"Gateriteri H/C III","Kisoro","Kisoro Hub"
"Gasovu H/C III","Kisoro","Kisoro Hub"
"Kinanira H/C III","Kisoro","Kisoro Hub"
"Nyarubuye H/C III","Kisoro","Kisoro Hub"
"Buhozi H/C III","Kisoro","Kisoro Hub"
"Kagezi HC III","Kisoro","Kisoro Hub"
"Rutaka H/C III","Kisoro","Kisoro Hub"
"Kisoro Prisons H/C II","Kisoro","Kisoro Hub"
"Akuna Laber H/C III","Kitgum","Kitgum Hub"
"Kitgum General Hospital","Kitgum","Kitgum Hub"
"Kitgum Matidi H/C III","Kitgum","Kitgum Hub"
"Lobo rom H/C III","Kitgum","Kitgum Hub"
"Mucwini H/C III","Kitgum","Kitgum Hub"
"Namokora H/C IV","Kitgum","Kitgum Hub"
"Omiya Anyima H/C III","Kitgum","Kitgum Hub"
"Orom H/C III","Kitgum","Kitgum Hub"
"St Joseph Hospital  Kitgum","Kitgum","Kitgum Hub"
"Okidi H/C III","Kitgum","Kitgum Hub"
"Newlife H/C III","Kitgum","Kitgum Hub"
"Pajimo H/C III","Kitgum","Kitgum Hub"
"Bregma Medical Centre","Kitgum","Kitgum Hub"
"Diocese Of Kitgum H/C II","Kitgum","Kitgum Hub"
"Kitgum Prison H/C III","Kitgum","Kitgum Hub"
"Dricile H/C III","Koboko","Koboko Hub"
"Ayipe H/C III","Koboko","Koboko Hub"
"Lobule H/C III","Koboko","Koboko Hub"
"Gborokolongo H/C III","Koboko","Koboko Hub"
"Koboko Mission H/C III","Koboko","Koboko Hub"
"Dranya H/C III","Koboko","Koboko Hub"
"Ludara H/C III","Koboko","Koboko Hub"
"Koboko General Hospital","Koboko","Koboko Hub"
"Aboke H/C IV","Kole","Aber Hub"
"Akalo H/C III","Kole","Lira Hub"
"Alito H/C III","Kole","Lira Hub"
"Apalabarowo H/C III","Kole","Lira Hub"
"Bala H/C III","Kole","Lira Hub"
"Opeta H/C III (Kole)","Kole","Aber Hub"
"Aboke Mission  H/C III","Kole","Aber Hub"
"Kotido H/C IV","Kotido","Kotido Hub"
"Rengen H/C III","Kotido","Kotido Hub"
"Kacheri H/C III","Kotido","Kotido Hub"
"405 Brigade HC III","Kotido","Kotido Hub"
"Kotido COU H/C III","Kotido","Kotido Hub"
"Lokitelaebu H/C III","Kotido","Kotido Hub"
"Panyangara H/C III","Kotido","Kotido Hub"
"Kanawat H/C III","Kotido","Kotido Hub"
"Nakapelimoru H/C III","Kotido","Kotido Hub"
"Lookorok H/C II","Kotido","Kotido Hub"
"Losilang H/C II","Kotido","Kotido Hub"
"Napumpum H/C II","Kotido","Kotido Hub"
"Karamoja Diocesian Development Org","Kotido","Kotido Hub"
"Kumi H/C IV","Kumi","Atutur Hub"
"Kumi Hospital","Kumi","Atutur Hub"
"Kamacha H/C III","Kumi","Atutur Hub"
"Nyero H/C III","Kumi","Atutur Hub"
"Olimai  H/C III","Kumi","Atutur Hub"
"Mukongoro H/C III","Kumi","Atutur Hub"
"Ongino H/C III","Kumi","Atutur Hub"
"Kanyum H/C III","Kumi","Atutur Hub"
"Atutur Hospital","Kumi","Atutur Hub"
"Omatenga H/C II","Kumi","Atutur Hub"
"Akide H/C II","Kumi","Atutur Hub"
"Agaria H/C II","Kumi","Atutur Hub"
"Agurut H/C II","Kumi","Atutur Hub"
"Abongomola H/C III","Kwania","Apac Hub"
"Aduku H/C IV","Kwania","Apac Hub"
"Inomo H/C III","Kwania","Apac Hub"
"Nambieso H/C III","Kwania","Apac Hub"
"Chawente H/C III","Kwania","Apac Hub"
"Apwori H/C III","Kwania","Apac Hub"
"Abedober H/C III","Kwania","Apac Hub"
"Apidori H/C II","Kwania","Apac Hub"
"Ngenge H/C III","Kween","Kapchorwa Hub"
"Kaproron H/C IV","Kween","Kapchorwa Hub"
"Kwanyiyi H/C III","Kween","Kapchorwa Hub"
"Chemwon H/C III","Kween","Kapchorwa Hub"
"Binyiny H/C III","Kween","Kapchorwa Hub"
"Kiriki H/C III","Kween","Kapchorwa Hub"
"Ntwetwe H/C IV","Kyankwanzi","Ntwetwe Hub"
"Kiyuni H/C III (Kyankwanzi)","Kyankwanzi","Ntwetwe Hub"
"Butemba H/C III","Kyankwanzi","Ntwetwe Hub"
"Kyankwanzi H/C III","Kyankwanzi","Ntwetwe Hub"
"Kikonda H/C III","Kyankwanzi","Ntwetwe Hub"
"Mujunza H/C II","Kyankwanzi","Ntwetwe Hub"
"Kikolimbo H/C III","Kyankwanzi","Ntwetwe Hub"
"Sirimula H/C III","Kyankwanzi","Ntwetwe Hub"
"Nalinya Ndagire H/C III","Kyankwanzi","Ntwetwe Hub"
"St Balikuddembe H/C III (Kyankwanzi)","Kyankwanzi","Ntwetwe Hub"
"Nakitembe H/C II","Kyankwanzi","Ntwetwe Hub"
"St Noah H/C VVumba","Kyankwanzi","Ntwetwe Hub"
"Kisala H/C II","Kyankwanzi","Ntwetwe Hub"
"Bukwiri COU H/C II","Kyankwanzi","Ntwetwe Hub"
"Bananywa H/C III","Kyankwanzi","Ntwetwe Hub"
"Kyegegwa H/C IV","Kyegegwa","Kyegegwa Hub"
"Mpara H/C III","Kyegegwa","Kyegegwa Hub"
"Hapuuyo H/C III","Kyegegwa","Kyegegwa Hub"
"Kakabara H/C III","Kyegegwa","Kyegegwa Hub"
"Kigambo H/C II","Kyegegwa","Kyegegwa Hub"
"Kasule H/C III","Kyegegwa","Kyegegwa Hub"
"Kazinga H/C III (Kyegegwa)","Kyegegwa","Kyegegwa Hub"
"Karwenyi H/C II","Kyegegwa","Kyegegwa Hub"
"Bujubuli H/C III","Kyegegwa","Kyegegwa Hub"
"Bugogo H/C III","Kyegegwa","Kyegegwa Hub"
"Kishagazi H/C II","Kyegegwa","Kyegegwa Hub"
"Wekomiire H/C III (St Thereza)","Kyegegwa","Kyegegwa Hub"
"Migamba H/C II","Kyegegwa","Kyegegwa Hub"
"Ruhangire H/C II","Kyegegwa","Kyegegwa Hub"
"Mukondo H/C II","Kyegegwa","Kyegegwa Hub"
"Mbale H/C II (Kyenjojo)","Kyenjojo","Kyenjojo Hub"
"Mwenge Estate Clinic","Kyenjojo","Kyenjojo Hub"
"Hope Again Medical Centre (Kyenjojo)","Kyenjojo","Kyenjojo Hub"
"Mwenge H/C III","Kyenjojo","Kyenjojo Hub"
"Kyakatara H/C III","Kyenjojo","Kyenjojo Hub"
"Munobwa H/C II","Kyenjojo","Kyenjojo Hub"
"Kyenjojo Hospital","Kyenjojo","Kyenjojo Hub"
"Kyarusozi H/C IV","Kyenjojo","Kyenjojo Hub"
"Katooke H/C III","Kyenjojo","Kyenjojo Hub"
"Kigaraale H/C III","Kyenjojo","Kyenjojo Hub"
"Butiiti H/C III","Kyenjojo","Kyenjojo Hub"
"Kisojo H/C III (Kyenjojo)","Kyenjojo","Kyenjojo Hub"
"Rwibaale H/C III","Kyenjojo","Kyenjojo Hub"
"Nyankwanzi H/C III","Kyenjojo","Kyenjojo Hub"
"St Adolf H/C III (Butiiti)","Kyenjojo","Kyenjojo Hub"
"Butunduzi H/C III","Kyenjojo","Kyenjojo Hub"
"Bufunjo H/C III","Kyenjojo","Kyenjojo Hub"
"St Martin H/C III (Kyenjojo)","Kyenjojo","Kyenjojo Hub"
"Rwaitengya H/C II","Kyenjojo","Kyenjojo Hub"
"Nyamabuga H/C III","Kyenjojo","Kyenjojo Hub"
"Kyankaramata H/C II","Kyenjojo","Kyenjojo Hub"
"Myeri H/C II (Kyenjojo)","Kyenjojo","Kyenjojo Hub"
"Nyakarongo H/C II","Kyenjojo","Kyenjojo Hub"
"Kyembogo H/C III","Kyenjojo","Kyenjojo Hub"
"ST Marys H/C II Katoosa","Kyenjojo","Kyenjojo Hub"
"Midas Torch Medical Services","Kyenjojo","Kyenjojo Hub"
"Kigoyera H/C II","Kyenjojo","Kyenjojo Hub"
"Mabale(Kyenjojo) H/C II","Kyenjojo","Kyenjojo Hub"
"Villa Maria - Kaihura HC II","Kyenjojo","Kyenjojo Hub"
"Kagorogoro H/C II","Kyenjojo","Kyenjojo Hub"
"Mc Farland Memorial Medical Centre","Kyenjojo","Kyenjojo Hub"
"333BDE","Kyenjojo","Kyenjojo Hub"
"St Klaus H/C III","Kyenjojo","Kyenjojo Hub"
"God's Care Medical Center","Kyenjojo","Kyenjojo Hub"
"Crane Survey Fort Portal","Kyenjojo","FortPortal Hub"
"Kabira H/C III (Rakai)","Kyotera","Rakai Hub"
"Kakuuto H/C IV","Kyotera","Rakai Hub"
"Kalisizo Hospital","Kyotera","Rakai Hub"
"Kasasa H/C III","Kyotera","Rakai Hub"
"Kyebe H/C III","Kyotera","Rakai Hub"
"Nabigasa H/C III","Kyotera","Rakai Hub"
"Kyotera Medical Centre","Kyotera","Rakai Hub"
"Kasaali H/C III","Kyotera","Rakai Hub"
"Mutukula H/C III","Kyotera","Rakai Hub"
"Kasensero H/C II","Kyotera","Rakai Hub"
"Kirumba H/C III (Rakai)","Kyotera","Rakai Hub"
"Mitukula H/C III","Kyotera","Rakai Hub"
"St Denis Kyango  H/C III","Kyotera","Rakai Hub"
"Agoro H/C III","Lamwo","Madi-Opei Hub"
"Lokung H/C III","Lamwo","Madi-Opei Hub"
"Madi Opei H/C IV","Lamwo","Madi-Opei Hub"
"Padibe H/C IV","Lamwo","Madi-Opei Hub"
"Palabek  Gem H/C III","Lamwo","Madi-Opei Hub"
"Palabek Ogili H/C III","Lamwo","Madi-Opei Hub"
"Palabek-Kal H/C III","Lamwo","Madi-Opei Hub"
"Paloga H/C III","Lamwo","Madi-Opei Hub"
"Ngom-oromo H/C II","Lamwo","Madi-Opei Hub"
"Anaka H/C II (Madi Opei)","Lamwo","Madi-Opei Hub"
"Padibe West H/C III","Lamwo","Madi-Opei Hub"
"St Peter and Paul H/C III","Lamwo","Madi-Opei Hub"
"Paluda H/C III","Lamwo","Madi-Opei Hub"
"Awich H/C II","Lamwo","Madi-Opei Hub"
"Lamwo Prison H/C II","Lamwo","Madi-Opei Hub"
"Agali H/C III","Lira","Lira Hub"
"Amach H/C IV (Lira)","Lira","Lira Hub"
"Amuca SDA H/C III","Lira","Lira Hub"
"Aromo H/C III","Lira","Lira Hub"
"Barr H/C III","Lira","Lira Hub"
"Boroboro H/C III","Lira","Lira Hub"
"Lira Medical Centre","Lira","Lira Hub"
"Lira R R Hospital","Lira","Lira Hub"
"Ngetta H/C III","Lira","Lira Hub"
"Ogur H/C IV","Lira","Lira Hub"
"Ongica H/C III","Lira","Lira Hub"
"Lira PAG Mission Hospital","Lira","Lira Hub"
"Ober H/C III","Lira","Lira Hub"
"Barapwo H/C III","Lira","Lira Hub"
"Charis H/C III","Lira","Lira Hub"
"Ayira Health Services","Lira","Lira Hub"
"Lira Military Barracks H/C III","Lira","Lira Hub"
"AIDS Information Centre(Lira)","Lira","Lira Hub"
"Anyangatir H/C III","Lira","Lira Hub"
"Abunga H/C II","Lira","Lira Hub"
"Ayago H/C III","Lira","Lira Hub"
"Apuce H/C II","Lira","Lira Hub"
"St Francis H/C II (Akia)","Lira","Lira Hub"
"Lira Prison H/C III","Lira","Lira Hub"
"Abala H/C III","Lira","Lira Hub"
"Onywako H/C III","Lira","Lira Hub"
"Adyel H/C III","Lira","Lira Hub"
"Lira University Hospital","Lira","Lira Hub"
"Crane Survey Lira","Lira","Lira Hub"
"Kiyunga H/C IV ( Luuka)","Luuka","Iganga Hub"
"Ikumbya H/C III (Luuka)","Luuka","Kamuli Hub"
"Irongo H/C III","Luuka","Iganga Hub"
"Bukoova H/C III","Luuka","Kamuli Hub"
"Waibuga H/C III","Luuka","Iganga Hub"
"Bukanga H/C III","Luuka","Iganga Hub"
"Ikonia H/C III","Luuka","Iganga Hub"
"Borcch Medical Centre","Luuka","Iganga Hub"
"Inuula H/C II","Luuka","Kamuli Hub"
"Bugambo H/C II","Luuka","Kamuli Hub"
"Kibinga H/C II","Luuka","Iganga Hub"
"Kiwalazi H/C II","Luuka","Iganga Hub"
"Yefaap Medical Centre","Luuka","Iganga Hub"
"Kasozi H/C III (Luweero)","Luweero","Luweero Hub"
"Katikamu H/C III","Luweero","Luweero Hub"
"Katikamu-Kisule H/C III","Luweero","Luweero Hub"
"Katuugo H/C II","Luweero","Luweero Hub"
"Bamunanika H/C III","Luweero","Luweero Hub"
"Bishop Ceaser Asili Hospital","Luweero","Luweero Hub"
"Bombo H/C III","Luweero","Luweero Hub"
"Bombo Military Hospital","Luweero","Luweero Hub"
"Bowa H/C III","Luweero","Luweero Hub"
"Bukalasa H/C III","Luweero","Luweero Hub"
"Kikoma H/C III","Luweero","Luweero Hub"
"Butuntumula H/C III","Luweero","Luweero Hub"
"Kisule H/C III","Luweero","Luweero Hub"
"Nattyole H/C III","Luweero","Luweero Hub"
"Kyalugondo H/C III","Luweero","Luweero Hub"
"Holy Cross H/C III (Kikyusa)","Luweero","Luweero Hub"
"Luweero General Hospital","Luweero","Luweero Hub"
"Nsawo H/C III","Luweero","Luweero Hub"
"Nyimbwa H/C IV","Luweero","Luweero Hub"
"Orient Medical Centre","Luweero","Luweero Hub"
"Kalagala H/C IV","Luweero","Luweero Hub"
"Kamira H/C III","Luweero","Luweero Hub"
"Kasala H/C III","Luweero","Luweero Hub"
"Kasana H/C IV","Luweero","Luweero Hub"
"Ssekamuli H/C III","Luweero","Luweero Hub"
"St Luke Namaliga H/C III","Luweero","Luweero Hub"
"St Marys H/C Kasaala","Luweero","Luweero Hub"
"Zirobwe H/C III","Luweero","Luweero Hub"
"Ndejje University H/C III","Luweero","Luweero Hub"
"Wabusana H/C III","Luweero","Luweero Hub"
"Makulubita H/C III","Luweero","Luweero Hub"
"Kibengo H/C III (Luweero)","Luweero","Luweero Hub"
"Nakatonya H/C III","Luweero","Luweero Hub"
"Bugema University H/C III","Luweero","Luweero Hub"
"Good Hope Medical Center","Luweero","Luweero Hub"
"Dr Panagiotis H/C III","Luweero","Luweero Hub"
"Luteete H/C II","Luweero","Luweero Hub"
"Kinoni H/C III (Lwengo)","Lwengo","Lwengo Hub"
"Kiwangala H/C IV","Lwengo","Lwengo Hub"
"Kyazanga H/C IV","Lwengo","Lwengo Hub"
"Lwengo H/C IV","Lwengo","Lwengo Hub"
"Katovu H/C III","Lwengo","Lwengo Hub"
"Kyetume H/C III (Lwengo)","Lwengo","Lwengo Hub"
"St Francis Mbiriizi H/C III","Lwengo","Lwengo Hub"
"Naanywa H/C III","Lwengo","Lwengo Hub"
"Mbirizi Moslem H/C III","Lwengo","Lwengo Hub"
"Kimwanyi H/C III","Lwengo","Lwengo Hub"
"Makondo H/C III","Lwengo","Lwengo Hub"
"Nkoni H/C III","Lwengo","Lwengo Hub"
"St Aloysious Ngobya Dom.Clinic","Lwengo","Lwengo Hub"
"Kisansala H/C II","Lwengo","Lwengo Hub"
"St Aloysius Agobya Dom Clinic","Lwengo","Lwengo Hub"
"Munathamat H/C III","Lwengo","Lwengo Hub"
"St Aloysious Namabaale H/C III","Lwengo","Lwengo Hub"
"St Peters Busibo H/C III","Lwengo","Lwengo Hub"
"Kyetume HCIII","Lwengo","Lwengo Hub"
"Kakoma H/C III (Lwengo)","Lwengo","Lwengo Hub"
"Engeye H/C IV (Lwengo)","Lwengo","Lwengo Hub"
"Lyantonde Hospital","Lyantonde","Lyantonde Hub"
"Mpumudde H/C III (Lyantonde)","Lyantonde","Lyantonde Hub"
"Lyantonde Muslim H/C III","Lyantonde","Lyantonde Hub"
"Kaliro H/C III (Lyantonde)","Lyantonde","Lyantonde Hub"
"Kinuuka H/C III","Lyantonde","Lyantonde Hub"
"Kasagama H/C III","Lyantonde","Lyantonde Hub"
"Kyamaganda HCIII","Lyantonde","Lwengo Hub"
"Kabayanda H/C II","Lyantonde","Lyantonde Hub"
"St Elizabeth H/C III KIJJUKIZO","Lyantonde","Lyantonde Hub"
"Lyakajula H/C II (Lyantode)","Lyantonde","Lyantonde Hub"
"Kabatema H/C II","Lyantonde","Lyantonde Hub"
"Bubulo H/C IV","Manafwa","Tororo Hub"
"Bugobero H/C IV","Manafwa","Tororo Hub"
"Butiru H/C III","Manafwa","Tororo Hub"
"Nabitsiichi H/C III","Manafwa","Tororo Hub"
"Bukewa H/C III","Manafwa","Tororo Hub"
"Lwanjusi H/C III","Manafwa","Tororo Hub"
"Bunambale H/C III","Manafwa","Tororo Hub"
"Butiru Chrisco Hospital","Manafwa","Tororo Hub"
"Bukimanayi H/C III","Manafwa","Tororo Hub"
"Maracha Hospital (St Joseph)","Maracha-Terego","Arua Hub"
"Oleba H/C III","Maracha-Terego","Arua Hub"
"Ovujo H/C III","Maracha-Terego","Arua Hub"
"Kijomoro H/C III","Maracha-Terego","Arua Hub"
"Tara H/C III","Maracha-Terego","Arua Hub"
"Kiyomoro H/C III","Maracha-Terego","Arua Hub"
"Eliofe H/C III","Maracha-Terego","Arua Hub"
"Kamaka H/C III","Maracha-Terego","Arua Hub"
"Oluvu H/C III","Maracha-Terego","Arua Hub"
"Wadra H/C III","Maracha-Terego","Arua Hub"
"Nyadri H/C III","Maracha-Terego","Arua Hub"
"Yivu Abea H/C II","Maracha-Terego","Arua Hub"
"Omugo Extention H/C III","Maracha-Terego","Rhino Camp Hub"
"Curube H/C III","Maracha-Terego","Arua Hub"
"Kitovu Hospital","Masaka","Masaka Hub"
"Kiyumba H/C IV","Masaka","Masaka Hub"
"Masaka R R Hospital","Masaka","Masaka Hub"
"TASO Masaka","Masaka","Masaka Hub"
"Masaka Municipal Council H/C II","Masaka","Masaka Hub"
"Mpugwe H/C III","Masaka","Masaka Hub"
"Nakasojjo H/C II","Masaka","Masaka Hub"
"Butende H/C III","Masaka","Masaka Hub"
"Lambu H/C","Masaka","Masaka Hub"
"Masaka Police Clinic","Masaka","Masaka Hub"
"Kamulegu H/C III","Masaka","Masaka Hub"
"Kitovu Mobile","Masaka","Masaka Hub"
"Bukakata H/C III","Masaka","Masaka Hub"
"Buwunga H/C III (Masaka)","Masaka","Masaka Hub"
"Bukeeri H/C III","Masaka","Masaka Hub"
"Kyanamukaka H/C IV","Masaka","Masaka Hub"
"Masaka Prison H/C III","Masaka","Masaka Hub"
"Bukoto H/C III","Masaka","Masaka Hub"
"Ssunga H/C III","Masaka","Masaka Hub"
